,NM_MUN,NM_UF,SIGLA_UF,AREA_KM2,PATH
0,Teotônio Vilela,Alagoas,AL,299.237,M 525.6 324.21 525.6 324.2 525.6 324.19 525.59 324.18 525.58 324.17 525.58 324.16 525.57 324.15 525.56 324.14 525.55 324.14 525.54 324.14 525.54 324.13 525.55 324.12 525.56 324.12 525.56 324.11 525.57 324.11 525.58 324.1 525.59 324.1 525.59 324.09 525.6 324.09 525.6 324.08 525.59 324.08 525.59 324.07 525.59 324.06 525.59 324.05 525.59 324.04 525.59 324.03 525.57 324.03 525.56 324.03 525.55 324.05 525.54 324.04 525.53 324.01 525.54 323.97 525.51 323.94 525.49 323.88 525.49 323.87 525.48 323.87 525.48 323.86 525.46 323.85 525.45 323.85 525.43 323.85 525.42 323.85 525.4 323.86 525.38 323.86 525.36 323.87 525.35 323.87 525.34 323.87 525.33 323.87 525.32 323.87 525.3 323.87 525.29 323.87 525.28 323.87 525.27 323.87 525.26 323.87 525.24 323.86 525.23 323.86 525.22 323.86 525.21 323.86 525.2 323.86 525.19 323.87 525.18 323.87 525.17 323.87 525.16 323.88 525.15 323.89 525.14 323.89 525.13 323.89 525.12 323.89 525.11 323.89 525.11 323.88 525.1 323.88 525.09 323.87 525.08 323.87 525.07 323.87 525.05 323.88 525.04 323.88 525.02 323.88 525 323.88 524.97 323.88 524.96 323.89 524.94 323.89 524.94 323.88 524.93 323.88 524.92 323.87 524.92 323.86 524.91 323.86 524.91 323.85 524.9 323.85 524.88 323.85 524.87 323.85 524.86 323.84 524.85 323.83 524.85 323.82 524.85 323.81 524.85 323.79 524.84 323.78 524.83 323.77 524.81 323.77 524.8 323.77 524.79 323.78 524.77 323.78 524.76 323.78 524.75 323.78 524.73 323.78 524.71 323.77 524.68 323.77 524.66 323.77 524.64 323.78 524.62 323.78 524.61 323.77 524.6 323.77 524.58 323.76 524.56 323.75 524.55 323.75 524.53 323.74 524.51 323.74 524.5 323.73 524.49 323.73 524.47 323.74 524.46 323.73 524.45 323.72 524.43 323.71 524.42 323.7 524.41 323.68 524.39 323.67 524.38 323.65 524.37 323.63 524.36 323.62 524.35 323.6 524.35 323.59 524.34 323.58 524.34 323.57 524.34 323.56 524.34 323.55 524.34 323.54 524.34 323.53 524.34 323.52 524.34 323.51 524.35 323.51 524.35 323.5 524.35 323.49 524.34 323.49 524.34 323.48 524.33 323.48 524.33 323.47 524.32 323.47 524.33 323.47 524.33 323.46 524.34 323.46 524.34 323.45 524.35 323.45 524.36 323.45 524.36 323.44 524.37 323.44 524.37 323.43 524.36 323.42 524.35 323.42 524.35 323.41 524.35 323.4 524.34 323.4 524.34 323.39 524.35 323.39 524.35 323.38 524.34 323.38 524.34 323.37 524.35 323.37 524.35 323.36 524.35 323.35 524.36 323.35 524.36 323.34 524.37 323.34 524.37 323.33 524.37 323.32 524.38 323.32 524.38 323.31 524.39 323.3 524.39 323.29 524.4 323.28 524.4 323.27 524.41 323.27 524.41 323.26 524.42 323.25 524.42 323.24 524.43 323.24 524.44 323.24 524.44 323.23 524.44 323.22 524.43 323.22 524.43 323.21 524.43 323.2 524.44 323.2 524.44 323.19 524.45 323.19 524.45 323.18 524.45 323.17 524.45 323.16 524.46 323.16 524.46 323.15 524.46 323.14 524.47 323.14 524.48 323.14 524.48 323.13 524.48 323.12 524.49 323.12 524.5 323.11 524.51 323.1 524.52 323.1 524.53 323.1 524.53 323.09 524.53 323.08 524.53 323.07 524.54 323.07 524.55 323.07 524.55 323.06 524.55 323.05 524.55 323.04 524.56 323.04 524.56 323.03 524.55 323.03 524.55 323.02 524.56 323.02 524.56 323.01 524.57 323.01 524.57 323 524.56 323 524.56 322.99 524.56 322.98 524.57 322.98 524.58 322.98 524.58 322.97 524.59 322.97 524.59 322.96 524.59 322.95 524.6 322.95 524.6 322.96 524.61 322.96 524.61 322.95 524.61 322.94 524.61 322.93 524.62 322.92 524.62 322.91 524.61 322.9 524.61 322.89 524.61 322.88 524.61 322.87 524.62 322.87 524.62 322.88 524.63 322.88 524.63 322.87 524.64 322.87 524.65 322.87 524.65 322.86 524.65 322.85 524.65 322.84 524.66 322.84 524.66 322.83 524.67 322.83 524.68 322.83 524.68 322.82 524.68 322.81 524.69 322.81 524.69 322.8 524.7 322.8 524.7 322.81 524.71 322.81 524.71 322.82 524.71 322.83 524.72 322.83 524.72 322.82 524.73 322.82 524.73 322.83 524.74 322.83 524.75 322.83 524.76 322.82 524.77 322.82 524.77 322.81 524.78 322.81 524.78 322.8 524.79 322.8 524.8 322.8 524.8 322.79 524.8 322.78 524.81 322.78 524.81 322.77 524.82 322.77 524.82 322.76 524.82 322.75 524.83 322.75 524.83 322.74 524.83 322.73 524.84 322.73 524.84 322.72 524.83 322.72 524.83 322.71 524.82 322.71 524.83 322.71 524.83 322.7 524.84 322.7 524.84 322.69 524.84 322.68 524.83 322.68 524.83 322.69 524.83 322.68 524.84 322.68 524.84 322.67 524.85 322.67 524.85 322.66 524.85 322.65 524.85 322.64 524.85 322.63 524.84 322.63 524.84 322.62 524.85 322.62 524.85 322.61 524.84 322.61 524.84 322.6 524.85 322.6 524.85 322.59 524.84 322.59 524.84 322.58 524.84 322.57 524.84 322.56 524.85 322.55 524.86 322.55 524.86 322.54 524.86 322.53 524.86 322.52 524.86 322.51 524.86 322.5 524.87 322.5 524.87 322.49 524.86 322.49 524.86 322.48 524.85 322.48 524.84 322.48 524.84 322.47 524.84 322.46 524.85 322.46 524.85 322.45 524.86 322.44 524.86 322.43 524.87 322.43 524.87 322.42 524.87 322.41 524.88 322.41 524.88 322.4 524.88 322.39 524.88 322.38 524.88 322.37 524.88 322.36 524.88 322.35 524.87 322.35 524.87 322.34 524.88 322.34 524.88 322.33 524.88 322.32 524.87 322.32 524.87 322.31 524.86 322.31 524.86 322.3 524.87 322.3 524.88 322.3 524.88 322.29 524.89 322.29 524.89 322.28 524.9 322.28 524.89 322.27 524.89 322.26 524.88 322.26 524.87 322.26 524.87 322.25 524.87 322.24 524.86 322.24 524.85 322.24 524.85 322.23 524.86 322.23 524.87 322.23 524.87 322.22 524.88 322.21 524.88 322.2 524.88 322.19 524.87 322.19 524.87 322.18 524.88 322.18 524.88 322.17 524.88 322.16 524.89 322.15 524.89 322.14 524.89 322.13 524.89 322.12 524.88 322.11 524.88 322.1 524.87 322.1 524.87 322.09 524.87 322.08 524.87 322.07 524.88 322.07 524.89 322.07 524.89 322.06 524.89 322.05 524.89 322.04 524.9 322.04 524.9 322.03 524.9 322.02 524.9 322.01 524.89 322.01 524.89 322 524.88 321.99 524.88 321.98 524.88 321.97 524.88 321.96 524.89 321.96 524.89 321.95 524.9 321.94 524.9 321.93 524.9 321.92 524.91 321.91 524.91 321.9 524.91 321.89 524.91 321.88 524.91 321.87 524.92 321.87 524.92 321.86 524.92 321.85 524.92 321.84 524.91 321.84 524.91 321.83 524.9 321.83 524.9 321.82 524.89 321.81 524.89 321.8 524.89 321.79 524.88 321.79 524.88 321.78 524.88 321.77 524.88 321.76 524.88 321.75 524.88 321.74 524.88 321.73 524.87 321.73 524.87 321.72 524.86 321.72 524.86 321.71 524.85 321.71 524.84 321.71 524.84 321.7 524.84 321.69 524.84 321.68 524.83 321.68 524.83 321.67 524.83 321.66 524.82 321.66 524.82 321.65 524.81 321.64 524.81 321.63 524.8 321.62 524.79 321.61 524.77 321.6 524.77 321.59 524.76 321.59 524.75 321.59 524.74 321.58 524.73 321.57 524.73 321.56 524.72 321.55 524.72 321.54 524.71 321.54 524.71 321.53 524.71 321.52 524.7 321.51 524.7 321.5 524.69 321.49 524.69 321.48 524.68 321.47 524.68 321.46 524.67 321.46 524.66 321.46 524.66 321.45 524.65 321.45 524.65 321.44 524.64 321.44 524.64 321.43 524.64 321.42 524.64 321.41 524.65 321.41 524.65 321.4 524.65 321.39 524.64 321.39 524.64 321.38 524.65 321.37 524.66 321.36 524.66 321.35 524.67 321.35 524.67 321.34 524.68 321.34 524.71 321.38 524.86 321.54 524.88 321.56 525 321.69 525.01 321.71 525.03 321.72 525.04 321.72 525.04 321.71 525.06 321.7 525.18 321.59 525.37 321.44 525.39 321.42 525.43 321.39 525.45 321.39 525.46 321.39 525.49 321.38 525.55 321.37 525.6 321.36 525.76 321.34 526.24 320.63 526.95 319.59 526.95 319.58 527.01 319.49 527.03 319.46 527.55 318.71 527.67 318.25 528.23 318.34 528.27 318.34 528.57 318.39 529.02 318.45 529.16 318.47 529.35 318.5 529.37 318.51 529.68 318.55 529.73 318.56 529.78 318.57 530.63 318.7 531.89 318.89 531.92 319.16 531.83 320.06 531.82 320.16 531.81 320.22 531.8 320.3 531.79 320.38 531.79 320.41 531.78 320.43 531.78 320.44 531.78 320.47 531.7 321.09 531.7 321.1 531.69 321.16 531.63 321.58 531.53 322.24 531.46 322.57 531.42 322.77 531.34 322.91 531.24 323.05 531.17 323.22 531 323.37 530.9 323.46 530.88 323.63 530.91 323.8 530.93 323.85 530.94 323.86 530.94 323.87 530.93 323.88 530.93 323.89 530.76 323.9 528.74 324.02 528.57 324.03 527.95 324.07 527.93 324.07 526.94 324.13 526.75 324.14 525.6 324.21 Z
1,Cajueiro,Alagoas,AL,107.168,M 536.28 303.81 535.66 303.61 534.48 303.21 534.4 303.19 534.43 303.13 534.29 303.1 534.79 301.77 535.18 300.76 535.33 300.37 535.72 299.32 536.3 297.78 536.33 297.79 536.37 297.8 536.48 297.84 537.99 298.35 537.97 298.44 537.93 298.58 537.52 300.12 537.47 300.3 537.47 300.31 537.12 301.34 537.09 301.43 537.09 301.44 536.28 303.81 Z
2,Campestre,Alagoas,AL,65.019,M 560.19 284.74 560.18 284.74 560.18 284.75 560.17 284.75 560.17 284.76 560.16 284.77 560.15 284.78 560.14 284.79 560.13 284.8 560.1 284.81 560.09 284.82 560.08 284.82 560.07 284.83 560.06 284.83 560.05 284.84 560.03 284.85 560.02 284.85 560.01 284.85 560.01 284.86 560 284.86 559.99 284.86 559.99 284.87 559.98 284.87 559.97 284.88 559.96 284.88 559.95 284.89 559.94 284.9 559.93 284.9 559.91 284.9 559.9 284.9 559.9 284.89 559.89 284.88 559.88 284.87 559.87 284.87 559.86 284.87 559.84 284.87 559.83 284.88 559.83 284.89 559.83 284.9 559.83 284.91 559.82 284.92 559.82 284.93 559.82 284.94 559.81 284.94 559.81 284.95 559.81 284.96 559.8 284.96 559.8 284.97 559.79 284.97 559.78 284.97 559.77 284.97 559.77 284.96 559.76 284.96 559.75 284.95 559.72 284.98 559.71 284.99 559.7 284.99 559.7 285 559.69 285 559.68 285 559.67 285 559.64 285.01 559.62 285.01 559.61 285.01 559.6 285.01 559.59 285.01 559.56 285.02 559.54 285.02 559.5 285.01 559.49 285.01 559.49 285 559.48 285 559.47 285 559.47 284.99 559.46 284.99 559.45 284.99 559.44 284.98 559.43 284.98 559.42 284.98 559.41 284.97 559.4 284.97 559.39 284.97 559.38 284.97 559.37 284.97 559.36 284.98 559.34 284.99 559.34 285 559.33 285 559.32 285 559.32 285.01 559.31 285.01 559.31 285.02 559.3 285.02 559.3 285.03 559.31 285.03 559.31 285.04 559.3 285.04 559.3 285.03 559.3 285.02 559.3 285.01 559.29 285.01 559.3 285 559.32 284.97 559.31 284.97 559.3 284.98 559.29 284.99 559.28 284.99 559.27 284.98 559.26 284.98 559.24 284.97 559.23 284.97 559.21 284.96 559.16 284.92 559.15 284.91 559.1 284.87 559.06 284.86 559.04 284.87 559.02 284.88 559.01 284.9 559 284.91 558.99 284.93 558.98 284.94 558.96 284.94 558.95 284.92 558.94 284.91 558.94 284.89 558.94 284.88 558.91 284.85 558.88 284.81 558.87 284.77 558.86 284.76 558.87 284.75 558.88 284.73 558.88 284.69 558.88 284.64 558.87 284.62 558.86 284.6 558.76 284.49 558.75 284.46 558.74 284.44 558.73 284.41 558.72 284.4 558.71 284.39 558.7 284.36 558.68 284.34 558.69 284.34 558.7 284.33 558.71 284.31 558.72 284.28 558.73 284.26 558.73 284.24 558.75 284.22 558.75 284.21 558.74 284.2 558.73 284.2 558.71 284.2 558.7 284.2 558.69 284.19 558.67 284.18 558.65 284.17 558.64 284.17 558.63 284.18 558.62 284.18 558.61 284.17 558.6 284.17 558.59 284.18 558.58 284.19 558.57 284.18 558.57 284.15 558.57 284.14 558.55 284.13 558.54 284.12 558.51 284.12 558.5 284.12 558.49 284.12 558.48 284.12 558.46 284.12 558.44 284.1 558.43 284.07 558.42 284.03 558.4 284.01 558.38 284 558.38 283.98 558.38 283.97 558.36 283.95 558.35 283.93 558.35 283.92 558.34 283.9 558.33 283.86 558.33 283.83 558.32 283.81 558.31 283.79 558.3 283.78 558.28 283.77 558.25 283.76 558.23 283.73 558.22 283.71 558.21 283.7 558.19 283.69 558.16 283.65 558.14 283.62 558.12 283.6 558.1 283.59 558.09 283.58 558.08 283.57 558.08 283.56 558.07 283.54 558.07 283.51 558.06 283.5 558.05 283.48 558.03 283.48 558.02 283.47 558.01 283.46 558.01 283.44 558 283.43 558 283.41 557.98 283.42 557.95 283.42 557.92 283.43 557.91 283.45 557.89 283.46 557.86 283.47 557.82 283.49 557.8 283.5 557.78 283.52 557.71 283.55 557.66 283.57 557.63 283.58 557.61 283.58 557.59 283.59 557.58 283.6 557.56 283.59 557.52 283.59 557.5 283.6 557.49 283.61 557.48 283.63 557.47 283.65 557.47 283.66 557.45 283.66 557.44 283.67 557.42 283.67 557.41 283.66 557.41 283.64 557.41 283.62 557.4 283.62 557.39 283.63 557.38 283.64 557.32 283.67 557.26 283.72 557.22 283.74 557.2 283.75 557.19 283.75 557.15 283.74 557.11 283.73 557.1 283.73 557.09 283.73 557.09 283.72 557.08 283.67 557.07 283.61 557.05 283.6 557.03 283.6 557.02 283.6 557.01 283.62 556.99 283.58 556.98 283.56 556.97 283.53 556.96 283.49 556.96 283.45 556.96 283.38 556.93 283.3 556.91 283.26 556.88 283.23 556.84 283.17 556.84 283.15 556.83 283.08 556.81 283.05 556.79 282.99 556.78 282.92 556.8 282.7 556.83 282.64 556.89 282.56 556.9 282.52 556.97 282.34 557 282.27 557.05 282.13 557.09 282.04 557.11 281.97 556.91 281.83 556.93 281.72 556.93 281.65 556.94 281.62 556.96 281.61 557.02 281.6 557.06 281.58 557.09 281.56 557.11 281.54 557.13 281.46 557.16 281.4 557.16 281.37 557.17 281.34 557.24 281.3 557.26 281.29 557.26 281.24 557.27 281.22 557.29 281.19 557.32 281.18 557.34 281.16 557.38 281.15 557.39 281.14 557.4 281.12 557.41 281.08 557.41 281.07 557.41 281.06 557.41 281.05 557.41 281.04 557.43 280.9 557.44 280.89 557.46 280.89 557.49 280.88 557.5 280.87 557.56 280.81 557.56 280.77 557.57 280.76 557.63 280.75 557.64 280.75 557.7 280.8 557.73 280.77 557.77 280.78 557.78 280.78 557.81 280.76 557.85 280.73 557.88 280.68 557.93 280.65 557.99 280.67 558.12 280.64 558.18 280.62 558.19 280.6 558.17 280.55 558.18 280.54 558.23 280.51 558.24 280.51 558.27 280.55 558.29 280.49 558.33 280.48 558.33 280.45 558.43 280.38 558.12 281.22 558.27 281.79 558.28 281.81 558.48 282.56 558.5 282.6 558.52 282.61 558.53 282.61 558.54 282.62 558.55 282.62 558.57 282.61 558.58 282.62 558.59 282.62 558.6 282.62 558.61 282.62 558.62 282.62 558.63 282.62 558.63 282.63 558.64 282.63 558.65 282.63 558.66 282.64 558.68 282.65 558.69 282.65 558.7 282.65 558.71 282.65 558.72 282.65 558.73 282.65 558.73 282.64 558.74 282.64 558.75 282.64 558.76 282.64 558.77 282.64 558.78 282.64 558.79 282.64 558.8 282.64 558.8 282.65 558.81 282.65 558.82 282.65 558.83 282.65 558.83 282.66 558.84 282.66 558.85 282.66 558.86 282.66 558.86 282.67 558.87 282.67 558.88 282.67 558.89 282.67 558.89 282.68 558.9 282.68 558.91 282.68 558.92 282.68 558.93 282.69 558.94 282.69 558.94 282.68 558.94 282.67 558.95 282.67 558.96 282.67 558.96 282.66 558.96 282.67 558.97 282.67 558.99 282.67 559 282.67 559.01 282.67 559.02 282.67 559.03 282.68 559.04 282.68 559.04 282.69 559.05 282.69 559.04 282.69 559.05 282.69 559.05 282.7 559.06 282.7 559.07 282.7 559.07 282.71 559.07 282.7 559.08 282.7 559.09 282.7 559.09 282.69 559.1 282.68 559.1 282.67 559.1 282.66 559.11 282.66 559.11 282.65 559.12 282.65 559.12 282.64 559.12 282.63 559.13 282.62 559.13 282.61 559.14 282.61 559.15 282.61 559.16 282.61 559.17 282.61 559.18 282.61 559.19 282.61 559.19 282.6 559.19 282.61 559.2 282.61 559.21 282.61 559.24 282.61 559.25 282.61 559.26 282.61 559.26 282.62 559.27 282.62 559.27 282.61 559.27 282.62 559.27 282.61 559.28 282.61 559.28 282.62 559.28 282.61 559.29 282.61 559.29 282.6 559.3 282.6 559.29 282.61 559.3 282.61 559.3 282.6 559.31 282.6 559.31 282.59 559.32 282.59 559.32 282.58 559.33 282.58 559.33 282.57 559.33 282.56 559.34 282.56 559.35 282.56 559.36 282.57 559.41 282.6 559.43 282.61 559.44 282.62 559.45 282.62 559.45 282.63 559.45 282.64 559.46 282.64 559.47 282.65 559.48 282.66 559.49 282.66 559.5 282.66 559.51 282.66 559.52 282.67 559.53 282.67 559.54 282.67 559.54 282.68 559.55 282.68 559.56 282.67 559.56 282.66 559.57 282.66 559.57 282.67 559.57 282.68 559.58 282.68 559.58 282.69 559.59 282.7 559.6 282.72 559.6 282.73 559.61 282.75 559.63 282.76 559.65 282.76 559.67 282.76 559.67 282.78 559.68 282.79 559.69 282.79 559.7 282.79 559.71 282.78 559.72 282.78 559.74 282.78 559.75 282.79 559.76 282.79 559.78 282.8 559.79 282.81 559.8 282.82 559.81 282.83 559.83 282.85 559.89 282.89 559.89 282.91 559.91 282.92 559.91 282.93 559.92 282.94 559.93 282.97 559.94 282.99 559.94 283 559.96 282.99 559.98 283.01 559.98 283.02 560.01 283.05 560.01 283.07 560.01 283.13 560.02 283.17 560.02 283.29 560.02 283.3 560.02 283.32 560.03 283.33 560.03 283.34 560.02 283.35 560.02 283.36 560.01 283.37 560 283.36 559.99 283.36 559.99 283.37 559.99 283.38 559.99 283.39 559.99 283.4 559.98 283.41 559.97 283.42 559.97 283.44 559.98 283.49 559.98 283.5 559.98 283.55 559.98 283.57 559.99 283.59 559.98 283.61 559.97 283.61 559.97 283.62 559.96 283.63 559.96 283.66 559.95 283.67 559.94 283.68 559.93 283.67 559.93 283.68 559.92 283.68 559.92 283.69 559.91 283.69 559.91 283.7 559.92 283.71 559.92 283.72 559.91 283.72 559.9 283.73 559.89 283.74 559.88 283.75 559.87 283.76 559.86 283.76 559.85 283.76 559.85 283.77 559.84 283.77 559.83 283.77 559.82 283.77 559.8 283.77 559.79 283.77 559.8 283.77 559.79 283.78 559.79 283.79 559.78 283.79 559.77 283.79 559.76 283.79 559.75 283.8 559.74 283.82 559.74 283.83 559.73 283.84 559.73 283.83 559.72 283.83 559.72 283.84 559.73 283.84 559.73 283.85 559.74 283.85 559.74 283.84 559.75 283.84 559.75 283.85 559.74 283.85 559.74 283.86 559.75 283.87 559.75 283.88 559.75 283.89 559.75 283.9 559.76 283.9 559.76 283.91 559.76 283.92 559.76 283.93 559.75 283.93 559.75 283.94 559.76 283.94 559.77 283.94 559.77 283.95 559.76 283.95 559.75 283.95 559.75 283.96 559.75 283.95 559.74 283.96 559.74 283.97 559.74 283.98 559.74 283.99 559.74 284 559.75 284 559.75 284.01 559.75 284.02 559.76 284.02 559.76 284.03 559.76 284.04 559.76 284.05 559.76 284.07 559.76 284.08 559.77 284.08 559.77 284.09 559.78 284.09 559.79 284.1 559.79 284.11 559.79 284.12 559.8 284.15 559.8 284.17 559.81 284.19 559.81 284.2 559.81 284.21 559.81 284.23 559.82 284.26 559.82 284.27 559.81 284.33 559.81 284.34 559.81 284.35 559.81 284.36 559.8 284.37 559.8 284.38 559.79 284.4 559.79 284.41 559.79 284.42 559.79 284.43 559.79 284.44 559.79 284.45 559.79 284.46 559.79 284.47 559.79 284.48 559.78 284.48 559.78 284.49 559.8 284.5 559.81 284.49 559.82 284.49 559.82 284.5 559.83 284.5 559.84 284.5 559.85 284.5 559.85 284.51 559.85 284.52 559.84 284.56 559.83 284.56 559.84 284.57 559.84 284.58 559.84 284.59 559.85 284.59 559.86 284.59 559.87 284.59 559.88 284.59 559.89 284.59 559.9 284.58 559.91 284.57 559.92 284.58 559.93 284.58 559.94 284.59 559.94 284.58 559.95 284.58 559.96 284.57 559.97 284.57 559.98 284.57 559.99 284.57 560 284.57 560 284.58 560 284.59 560 284.6 560 284.61 560.02 284.62 560.03 284.62 560.04 284.62 560.05 284.6 560.05 284.59 560.06 284.6 560.07 284.6 560.08 284.61 560.07 284.61 560.08 284.61 560.08 284.62 560.09 284.63 560.1 284.63 560.11 284.63 560.12 284.63 560.13 284.63 560.14 284.63 560.15 284.63 560.15 284.64 560.16 284.65 560.17 284.67 560.18 284.68 560.18 284.7 560.19 284.72 560.19 284.73 560.19 284.74 Z
